0;(659, 1056)
1;(958, 561)
2;(791, 593)
3;(929, 455)
4;(822, 412)
5;(853, 693)
6;(929, 473)
7;(762, 507)
8;(955, 651)
9;(955, 611)
10;(955, 546)
11;(802, 509)
12;(954, 796)
13;(853, 692)
14;(954, 778)
15;(931, 412)
16;(1057, 693)
